,bag names,Links
0,WROGN,https://www.flipkart.com//wrogn-laptop-backpack-spacy-unisex-fits-upto-16-inches-college-bag-school-bag-55-l/p/itm0171fa2feb0c4?pid=BKPGHCJCDMQPSCU9&lid=LSTBKPGHCJCDMQPSCU9OOXRJP&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_edonLXjM0GYD0F5OYhFmAdr1cwioPG2mOo191G%2FvPZDdPVWChxjkOnBLRN8CgpEEAgxHz1xohMmwEV1wQczUYA%3D%3D&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
1,A.K. Luggage,https://www.flipkart.com//a-k-luggage-backpack-travel-laptop-outdoor-sport-hiking-bags-65-l/p/itm64f0082885acb?pid=BKPGHKWPAUHBBYXY&lid=LSTBKPGHKWPAUHBBYXYM7KNOV&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_edonLXjM0GYD0F5OYhFmAdr1cwioPG2mOo191G%2FvPZBYb%2Bq%2BS1rq%2BNSbs5Qov9vimT1uSUP2khwq1MBRS7SPjw%3D%3D&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
2,Roadster,https://www.flipkart.com//roadster-large-historage-backpack-travel-office-school-38-l/p/itm663123703c7d6?pid=BKPGFN4PTZ7EADFW&lid=LSTBKPGFN4PTZ7EADFWVZQZSX&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGFN4PTZ7EADFW.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
3,Mi,https://www.flipkart.com//mi-step-out-12-liters-water-repellent-backpack-l/p/itm019a85a6c08e3?pid=BKPFT348KJV2GCKS&lid=LSTBKPFT348KJV2GCKSHSIOHA&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPFT348KJV2GCKS.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
4,PLEXY,https://www.flipkart.com//plexy-small-25-l-daypack-bagpack-daily-routine-backpack/p/itm047eb5d9b4b03?pid=BKPGHSBZBHWFJZHZ&lid=LSTBKPGHSBZBHWFJZHZGRFW3E&marketplace=FLIPKART&q=bags&store=search.flipkart.com&spotlightTagId=BestvalueId_search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGHSBZBHWFJZHZ.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
5,WROGN,https://www.flipkart.com//wrogn-axe-unisex-laptop-college-school-travel-backpack-35-l/p/itmd58143babfbcc?pid=BKPGJNVVWJTHN7BV&lid=LSTBKPGJNVVWJTHN7BVWEWLER&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGJNVVWJTHN7BV.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
6,NorthZone,https://www.flipkart.com//northzone-neavy-30-l-backpack/p/itmcab8fe4fbce39?pid=BKPFDXE6SX59TNCS&lid=LSTBKPFDXE6SX59TNCSL6YND8&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPFDXE6SX59TNCS.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
7,SAFARI,https://www.flipkart.com//safari-daypack-crazy-12-l-backpack/p/itm3c39fab88c370?pid=BKPG4R7K5PHDY9HN&lid=LSTBKPG4R7K5PHDY9HNA4VD07&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_edonLXjM0GYD0F5OYhFmAdr1cwioPG2mOo191G%2FvPZChhZW8WRgX12JjaB0hbnOoCsllzSW2zghzmALRWOafuA%3D%3D&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
8,PROVOGUE,https://www.flipkart.com//provogue-spacy-unisex-bag-rain-cover-office-school-college-busines-45-5l-1900-sg-45-5-l-backpack/p/itm79d21b50dc95d?pid=BKPGFA38DAFK95AB&lid=LSTBKPGFA38DAFK95ABRVJYDZ&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPGFA38DAFK95AB.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
9,PUMA,https://www.flipkart.com//puma-echo-pl-19-l-backpack/p/itmfaggvam8x4e3r?pid=BKPFAGGVSCAVTCNX&lid=LSTBKPFAGGVSCAVTCNXM9UBAS&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=9789fd49-096f-4a3b-928a-6bc7097cf6e0.BKPFAGGVSCAVTCNX.SEARCH&ppt=None&ppn=None&ssid=6kaidz48ds0000001675322817845&qH=404e218d27fee49e
